nome_exame_oficial,sinonimos,codigo_tasy,codigo_tuss,terminologia_procedimentos
Avaliação do processamento auditivo central por fonoaudiólogo,,,50000675,
Avaliação e diagnóstico de morte encefálica - exame clínico que confirme coma não perceptivo e ausência de função tronco encefálico,,,20101325,
Avaliação e diagnóstico de morte encefálica - teste de apneia que confirme ausência de movimentos respiratórios após estimulação máxima dos centros respiratórios,,,20101333,
Avaliação e seleção para implante coclear unilateral,,,20101244,
Avaliação endoscópica da deglutição (FEES),,,40201309,
Avaliação ergonômica,,,50000896,
Avaliação fisiológica da gravidade de obstruções (cateter ou guia),,,30911028,
Avaliação geriátrica ampla - AGA,,,20101236,
Avaliação hemodinâmica por cateterismo (aferimento de pressão ou fluxo arterial ou venoso),,,40810046,
Avaliação muscular por dinamometria computadorizada (isocinética) - por articulação,,,40104010,
Avaliação neurológica ampla - ANA,,,20101341,
Avaliação nutrológica (inclui consulta),,,20101074,
Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta),,,20101082,
Avaliação órbito-palpebral-exoftalmometria - binocular,,,41301030,
Avaliação quimerismo receptor - VNTR ou STR - pós transplante,,,40404064,
Avaliação quimerismo - VNTR ou STR - doador - pré transplante,,,40404048,
Avaliação quimerismo - VNTR ou STR - paciente - pré transplante,,,40404056,
AVI,,AVI,,
"Avidez de IgG para toxoplasmose, citomegalia, rubéloa, EB e outros, cada - pesquisa e/ou dosagem",,,40306461,
AVR,,AVR,,
Axilar - transplantes cutâneos,,,30701031,
Áxilo-palmar ou pendente,,,30712017,
"Azida sódica, teste da (para deissulfeto de carbono)",,,40313085,
AZITRO,,AZITRO,,
Azul de nilo no líquido amniótico,,,40309452,
"B.A.A.R. (Ziehl ou fluorescência, pesquisa direta e após homogeneização) - pesquisa",,,40310051,
B12,,B12,,
B19PC,,B19PC,,
B2GA,,B2GA,,
B2GG,,B2GG,,
B2GM,,B2GM,,
BAARLQ,,BAARLQ,,
Babesia microti em líquor,,,40309193,
BACH,,BACH,,
"Baço, exame de esfregaço de aspirado",,,40304930,
BACT,,BACT,,
"Bacterioscopia (Gram, Ziehl, Albert etc), por lâmina",,,40310060,
BACTLQ,,BACTLQ,,
BACTU,,BACTU,,
"Barbitúricos, antidepressivos tricíclicos (cada) - pesquisa e/ou dosagem",,,40301370,
Baropodometria,,,50000888,
Barra clipe,,,85500208,
Barra transpalatina fixa,,,86000152,
Barra transpalatina removível,,,86000160,
Bartituratos - pesquisa e/ou dosagem na urina,,,40311279,
BARTO,,BARTO,,
Bartolinectomia unilateral,,,31301010,
"Bartonella, anticorpos IgG",,,40323935,
"Bartonella, anticorpos IgM",,,40323943,
Baterias de testes químicos de triagem em urina para erros inatos do metabolismo (mínimo de seis testes),,,40502040,
BBPCR,,BBPCR,,
BCARO,,BCARO,,
BCRP12QL,,BCRP12QL,,
BDC,,BDC,,
Benzodiazepínicos e similares (cada) - pesquisa e/ou dosagem,,,40301745,
"Berílio, soro",,,40313352,
Beta-2-microglobulina - pesquisa e/ou dosagem,,,40306470,
Beta 2 transferrina,,,40302938,
Beta-glicuronidase - pesquisa e/ou dosagem,,,40301389,
"Beta mercapto-lactato-disulfidúria,pesquisa - na urina",,,40311287,
Betaterapia (placa de estrôncio) - por campo,,,41203011,
Bexiga psóica - tratamento cirúrgico,,,31103022,
BHB,,BHB,,
"Bicarbonato na urina, amostra isolada",,,40322408,
Bíceps femoral (biceps femoris),,,30703018,
BIL,,BIL,,
Bilimetria gástrica ou esofágica de 24 horas,,,40102017,
Bilirrubina transcutânea [labo],,,40302946,
"Bilirrubinas (direta, indireta e total) - pesquisa e/ou dosagem",,,40301397,
BILLC,,BILLC,,
BILNEO,,BILNEO,,
BIO,,BIO,,
Biofeedback com EMG,,,20103131,
Bioimpedanciometria (ambulatorial) exame,,,41301048,
Biometria óptica,,,41501276,
Biometria ultrassônica (Ecobiometria) - monocular - indicação específica,,,41501349,
Biometria ultrassônica - monocular,,,41501012,
Biomicroscopia de fundo,,,41301420,
Bionator de Balters,,,86000179,
BIONN,,BIONN,,
Biópsia cirúrgica coxo-femoral,,,30724112,
Biópsia cirúrgica da cintura escapular,,,30717043,
Biópsia cirúrgica de cintura pélvica,,,30723019,
Biópsia cirúrgica de costela ou esterno,,,30601223,
Biópsia cirúrgica de cotovelo,,,30719054,
Biópsia cirúrgica de fêmur,,,30725046,
Biópsia cirúrgica de joelho,,,30726050,
Biópsia cirúrgica de punho,,,30721091,
Biópsia cirúrgica de tíbia ou fíbula,,,30727057,
Biópsia cirúrgica de ureter unilateral,,,31102018,
Biópsia cirúrgica do antebraço,,,30720044,
Biópsia cirúrgica do tornozelo,,,30728088,
Biópsia cirúrgica do úmero,,,30718023,
Biópsia cirúrgica dos ossos da mão,,,30722160,
Biópsia cirúrgica dos ossos do pé,,,30729068,
Biópsia da coluna,,,30715032,
Biópsia de boca,,,30202027,
Biópsia de conjuntiva,,,30303028,
Biópsia de corpo vertebral com agulha,,,30715040,
Biópsia de epidídimo,,,31204015,
Biópsia de esclera,,,30308011,
Biópsia de glândula salivar,,,30204011,
Biópsia de íris e corpo ciliar,,,30310016,
Biópsia de lábio,,,30201012,
Biópsia de linfonodo superficial,,,30102057,
Biópsia de linfonodos pré-escalênicos ou do confluente venoso,,,30805023,
Biópsia de língua,,,30203031,
"Biópsia de mama, dirigida por RM",,,40808181,
Biópsia de mandíbula,,,30211018,
Biópsia de maxila,,,82000280,
Biópsia de músculo,,,30730023,
Biópsia de músculos,,,30311012,
Biópsia de nariz,,,30501059,
Biópsia de nervo,,,31403018,
Biópsia de pálpebra,,,30301025,
Biópsia de pâncreas por laparotomia,,,31006019,
Biópsia de pâncreas por punção dirigida,,,31006027,
Biópsia de pâncreas por videolaparoscopia,,,31006159,
Biópsia de paratireóide,,,30214017,
Biópsia de parede abdominal,,,31009026,
Biópsia de pavilhão auricular,,,30401011,
Biópsia de pele,,,30102022,
Biópsia de retina,,,30312027,
Biópsia de seios paranasais - qualquer via,,,30502195,
Biópsia de tecido celular subcutâneo,,,30102049,
Biópsia de tireóide,,,30213010,
Biópsia de tumor do mediastino por vídeo,,,30805180,
Biópsia de tumor do mediastino (qualquer via),,,30805031,
Biópsia de tumor via pars plana,,,30307015,
Biópsia de tumores superficiais,,,30102030,
Biópsia de unha,,,30101085,
Biópsia de vagina,,,31302017,
Biópsia de vítreo via pars plana,,,30307023,
Biópsia de vulva,,,31301029,
"Biópsia do cavum, orofaringe ou hipofaringe",,,30205077,
Biópsia do colo uterino,,,31303021,
Biópsia do endométrio,,,31303030,
Biópsia do miocárdio,,,30917018,
Biópsia do vilo corial,,,41301056,
Biópsia endomiocárdica,,,30911036,
Biópsia endoscópica de bexiga (inclui cistoscopia),,,31103030,
Biópsia endoscópica de ureter unilateral,,,31102026,
Biópsia endoscópica de uretra,,,31104029,
Biópsia endoscópica por órgão,,,40202780,
Biópsia escrotal,,,31202012,
Biópsia esplênica,,,31007015,
Biópsia estereotáxica de encéfalo,,,31401015,
Biópsia hepática por laparotomia (acima de 3 fragmentos),,,31005683,
Biópsia hepática por laparotomia (até 3 fragmentos),,,31005063,
Biópsia hepática por videolaparoscopia,,,31005675,
Biópsia hepática transparietal (acima de 3 fragmentos),,,31005691,
Biópsia hepática transparietal (até 3 fragmentos),,,31005071,
Biópsia incisional de mama,,,30602017,
Biópsia (orelha externa),,,30402026,
Biópsia óssea,,,30713021,
Biópsia peniana,,,31206034,
"Biópsia percutânea com agulha grossa, em consultório",,,30602335,
Biópsia percutânea de fragmento mamário por agulha grossa (core biopsy) orientada por estereotaxia (não inclui o exame de imagem),,,40808254,
Biópsia percutânea de fragmento mamário por agulha grossa (core biopsy) orientada por RM (não inclui o exame de imagem),,,40808270,
Biópsia percutânea de fragmento mamário por agulha grossa (core biopsy) orientada por US (não inclui o exame de imagem),,,40808262,
Biópsia percutânea de pleura por agulha,,,30804019,
Biópsia prostática - até 8 fragmentos,,,31201032,
Biópsia prostática - mais de 8 fragmentos,,,31201040,
Biópsia renal cirúrgica unilateral,,,31101070,
Biópsia renal laparoscópica unilateral,,,31101500,
Biópsia transcutânea de pulmão por agulha,,,30803241,
Biópsia unilateral de testículo,,,31203027,
Biópsia vesical a céu aberto,,,31103049,
"Biópsias cirúrgicas de tendões, bursas e sinóvias",,,30731020,
Biópsias percutânea sinovial ou de tecidos moles,,,30713030,
Biópsias por laparoscopia,,,40202046,
Bioquímica ICR (proteínas + pandy + glicose + cloro) - pesquisa e/ou dosagem em líquidos orgânicos,,,40309029,
"Biotinidase atividade da, qualitativo - pesquisa e/ou dosagem",,,40306488,
"Biperideno, dosagem",,,40322530,
BK1,,BK1,,
BK2,,BK2,,
BK3,,BK3,,
BK4,,BK4,,
BK5,,BK5,,
BK6,,BK6,,
BKPCR,,BKPCR,,
BKPCRLA,,BKPCRLA,,
BKPCRLP,,BKPCRLP,,
BKPCRLQ,,BKPCRLQ,,
BKPCRMO,,BKPCRMO,,
BKPCRS,,BKPCRS,,
BKPCRST,,BKPCRST,,
BLAST,,BLAST,,
"Blastomicose, reação sorológica",,,40306496,
Blefarorrafia,,,30301033,
Blocos geminados de Clark – twinblock,,,86000187,
Bloqueio anestésico de nervos cranianos,,,31602045,
Bloqueio anestésico de plexo celíaco,,,31602053,
"Bloqueio anestésico de plexos nervosos (lombossacro, braquial, cervical) para tratamento de dor",,,31602339,
Bloqueio anestésico de simpático lombar,,,31602061,
Bloqueio anestésico simpático,,,31602070,
Bloqueio de articulação têmporo-mandibular,,,31602088,
Bloqueio de gânglio estrelado com anestésico local,,,31602096,
Bloqueio de gânglio estrelado com neurolítico,,,31602100,
Bloqueio de nervo periférico - bloqueios anestésicos de nervos e estímulos neurovasculares,,,31602118,
Bloqueio de nervo periférico - nervos periféricos,,,31403026,
Bloqueio do sistema nervoso autônomo,,,31405010,
Bloqueio facetário para-espinhoso,,,31602126,
"Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal",,,20103140,
Bloqueio neurolítico de nervos cranianos ou cérvico-torácico,,,31602134,
"Bloqueio neurolítico do plexo celíaco, simpático lombar ou torácico",,,31602142,
Bloqueio neurolítico peridural ou subaracnóideo,,,31602150,
Bloqueio peridural ou subaracnóideo com corticóide,,,31602169,
Bloqueio simpático por via venosa,,,31602177,
BNP,,BNP,,
BNPS,,BNPS,,
Bócio mergulhante: extirpação por acesso cérvico-torácico,,,30213029,
Bolsa pré-patelar - ressecção,,,30726310,
Bordetella pertussis (Coqueluche) anticorpos IgG,,,40324010,
BORG,,BORG,,
BORM,,BORM,,
BORPC,,BORPC,,
BORPCD,,BORPCD,,
"Borrelia burgdorferi em líquor, anticorpos IgG",,,40323951,
"Borrelia burgdorferi em líquor, anticorpos IgM",,,40323960,
BORRG,,BORRG,,
BORRM,,BORRM,,
Bota com ou sem salto,,,30712025,
Bota de Unna - confecção,,,20104332,
Botão de Nance,,,86000195,
"BRAF, pesquisa de mutação",,,40503780,
Braquiterapia endoluminal de alta taxa de dose (BATD) - por inserção,,,41205014,
Braquiterapia endoluminal de baixa taxa de dose (BBTD) - por inserção,,,41205022,
Braquiterapia intersticial de alta taxa de dose (BATD) - por inserção,,,41205030,
Braquiterapia intersticial de baixa taxa de dose (BBTD) - com Césio - por inserção,,,41205049,
"Braquiterapia intersticial de baixa taxa de dose (BBTD) com ouro, irídio ou iodo - por tratamento",,,41205065,
Braquiterapia intersticial de baixa taxa de dose (BBTD) permanente de próstata - por tratamento,,,41205057,
Braquiterapia intracavitária de alta taxa de dose (BATD) - por inserção,,,41205073,
Braquiterapia intracavitária de baixa taxa de dose (BBTD) com Césio - por inserção,,,41205081,
Braquiterapia oftálmica de baixa taxa de dose (BBTD) - por inserção,,,41205090,
"Braquiterapia por moldagem ou contato, de alta taxa de dose (BATD) - por inserção",,,41205120,
Braquiterapia por moldagem ou contato de baixa taxa de dose (BBTD) com Césio - por inserção,,,41205103,
"Braquiterapia por moldagem ou contato de baixa taxa de dose (BBTD) com ouro, irídio ou iodo - por tratamento",,,41205111,
BRCSM,,BRCSM,,
Bridas congênitas - tratamento cirúrgico,,,30722179,
Bridectomia,,,82000298,
Bridotomia,,,82000301,
BROMA,,BROMA,,
"Brometo, sangue total",,,40313360,
Broncografia (por punção ou entubação traqueal),,,40809110,
Broncografia unilateral,,,40809129,
Broncoplastia e/ou arterioplastia,,,30802016,
Broncoplastia e/ou arterioplastia por videotoracoscopia,,,30802040,
Broncoscopia com biópsia transbrônquica,,,40201031,
Broncoscopia com biópsia transbrônquica com acompanhamento radioscópico,,,40202054,
Broncoscopia com cromoscopia,,,40201368,
Broncoscopia com ou sem aspirado ou lavado brônquico bilateral,,,40201058,
Broncotomia e/ou broncorrafia,,,30802024,
Broncotomia e/ou broncorrafia por videotoracoscopia,,,30802059,
BRU,,BRU,,
Brucela - IgG - pesquisa e/ou dosagem,,,40306500,
Brucela - IgM - pesquisa e/ou dosagem,,,40306518,
"Brucela, prova rápida",,,40306526,
BRUCG,,BRUCG,,
BRUCM,,BRUCM,,
BT2,,BT2,,
BT2U,,BT2U,,
BTA qualitatitvo na urina (amostra isolada),,,40323145,
BTC,,BTC,,
Bulectomia unilateral,,,30803012,
Bulectomia unilateral por videotoracoscopia,,,30803179,
Bursectomia - tratamento cirúrgico,,,30731038,
C kit análise mutacional,,,40503593,
C-Telopeptídeo,,,40317340,
C16,,C16,,
C1Q,,C1Q,,
C1q - pesquisa e/ou dosagem,,,40306534,
C207,,C207,,
C232,,C232,,
C242,,C242,,
C243,,C243,,
C281,,C281,,
C283,,C283,,
C286,,C286,,
C294,,C294,,
C3 proativador - pesquisa e/ou dosagem,,,40306542,
C388,,C388,,
C3A (fator B) - pesquisa e/ou dosagem,,,40306550,
C4d fragmento,,,40323153,
C5,,C5,,
C6 complemento,,,40323161,
C645,,C645,,
C7 complemento,,,40323170,
C70,,C70,,
C703,,C703,,
C71,,C71,,
C73,,C73,,
C8 complemento,,,40323188,
C9 complemento,,,40323196,
CA,,CA,,
CA-242 - pesquisa e/ou dosagem,,,40306577,
CA-27-29 - pesquisa e/ou dosagem,,,40306585,
CA 50 - pesquisa e/ou dosagem,,,40306569,
CA125,,CA125,,
CA153,,CA153,,
CA19,,CA19,,
CA242,,CA242,,
CA2729,,CA2729,,
CA50,,CA50,,
CA72,,CA72,,
CAD,,CAD,,
CADAO,,CADAO,,
Cadeia Kappa-Lambda leve livre,,,40319040,
Cadeia Kappa leve livre,,,40319032,
"Cadeias leves livres Kappa/Lambda, dosagem, líquor",,,40324273,
"Cadeias leves livres Kappa/Lambda, dosagem, sangue",,,40324265,
"Cadeias leves livres Kappa/Lambda em urina, dosagem",,,40323978,
CADS,,CADS,,
CAI,,CAI,,
CAIPF,,CAIPF,,
Calázio - exérese,,,30301041,
Cálcio iônico - pesquisa e/ou dosagem,,,40301419,
Cálcio - pesquisa e/ou dosagem,,,40301400,
Calcitonina - pesquisa e/ou dosagem,,,40316165,
"Cálculo biliar, análise química",,,40312186,
Cálculo vesical - extração endoscópica,,,31103057,
Cálculos urinários - análise,,,40311040,
Calibração endoscópica de balão de longa permanência,,,40202828,
Calorimetria direta,,,41301412,
Calorimetria indireta (ambulatorial) exame,,,41301064,
Calosidade e/ou mal perfurante - desbastamento (por lesão),,,30101093,
CALPF,,CALPF,,
"Calprotectina, detecção nas fezes",,,40323986,
CALR,,CALR,,
Campimetria blue-yellow (perimetria azul amarelo),,,41301560,
Campimetria computadorizada - monocular,,,40103137,
Campimetria manual - monocular,,,41301072,
"Campylobacter, sorologia",,,40323200,
Canal arterial persistente - correção cirúrgica,,,30901022,
Câncer de ovário (Debulking),,,31307019,
Câncer de ovário (Debulking) laparoscópica,,,31307159,
CANDA,,CANDA,,
CANDAOR,,CANDAOR,,
CANDG,,CANDG,,
CANDM,,CANDM,,
Cantoplastia lateral,,,30301050,
Cantoplastia medial,,,30301068,
Cantoplastia ungueal,,,30101948,
Capacidade de fixação de ferro - pesquisa e/ou dosagem,,,40301427,
Capacidade de ligação da vitamina B12,,,40316670,
Capeamento pulpar direto,,,85100013,
CAPHPV,,CAPHPV,,
Capilaroscopia periungueal,,,41301382,
Capsulectomia - ressecção de cápsula da prótese unilateral,,,30602408,
Capsulectomias múltiplas MF ou IF,,,30722209,
Capsulectomias única MF e IF,,,30722217,
Capsulotomia YAG ou cirúrgica,,,30306019,
Captura/Amplificação e subsequente sequenciamento de regiões genômicas de 1 megabase a 30 megabases de DNA tumoral para análise de mutações somáticas por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS),,,40503887,
Captura/Amplificação e subsequente sequenciamento de regiões genômicas de 20 kilobases a 1 megabase de DNA tumoral para análise de mutações somáticas por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS),,,40503879,
Captura/Amplificação e subsequente sequenciamento de regiões genômicas de até 20 kilobases de DNA tumoral para análise de mutações somáticas por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS),,,40503860,
Captura/Amplificação e subsequente sequenciamento de regiões genômicas de mais de 30 megabases de DNA tumoral para análise de mutações somáticas por qualquer técnica de sequenciamento (Sanger ou qualquer forma de sequenciamento de nova geração – NGS); inclui exoma tumoral,,,40503895,
CAR,,CAR,,
Carbamazepina - pesquisa e/ou dosagem,,,40301435,
"Carbapenem, dosagem - Meropenem e Imipenem",,,40321223,
CARBOC,,CARBOC,,
Carboxihemoglobina (para monóxido de carbono diclorometano) - pesquisa e/ou dosagem,,,40313093,
CARDHE,,CARDHE,,
"Cárdio-estimulação transesofágica (CETE), terapêutica ou diagnóstica",,,30904013,
Cardiomioplastia,,,30917026,
Cardiotocografia anteparto,,,20202016,
Cardiotocografia intraparto (por hora) até 6 horas externa,,,20202024,
"Cardiotomia (ferimento, corpo estranho, exploração)",,,30917034,
Cardioversão elétrica de emergência,,,20204027,
"Cardioversão elétrica eletiva (avaliação clínica, eletrocardiográfica, indispensável à desfibrilação)",,,20201052,
Cardioversão química de arritmia paroxísta em emergência,,,20204035,
"Cariótipo com bandas de pele, tumor e demais tecidos",,,40501019,
Cariótipo com pesquisa de troca de cromátides irmãs,,,40501027,
Cariótipo com técnicas de alta resolução,,,40501035,
Cariótipo de medula (técnicas com bandas),,,40501043,
Cariótipo de sangue obtido por cordocentese pré-natal,,,40501060,
Cariótipo de sangue-pesquisa de marcadores tumorais,,,40501078,
Cariótipo de sangue-pesquisa de sítio frágil X,,,40501086,
Cariótipo de sangue (técnicas com bandas),,,40501051,
Cariótipo de sangue (técnicas com bandas) - Análise de 50 células para detecção de mosaicismo,,,40501221,
Cariótipo em vilosidades coriônicas (cultivo de trofoblastos),,,40501094,
Cariótipo para pesquisa de instabilidade cromossômica,,,40501108,
"Carnitina, dosagem",,,40322416,
Carnitina livre - pesquisa e/ou dosagem,,,40301443,
Carnitina total e frações - pesquisa e/ou dosagem,,,40301451,
Caroteno - pesquisa e/ou dosagem,,,40301460,
Cartilagem oligomérica proteína (COMP),,,40302954,
CARTL,,CARTL,,
CAT,,CAT,,
Catalase eritrocitária,,,40322548,
CATEC,,CATEC,,
"Catecolaminas fracionadas - dopamina, epinefrina, norepinefrina (cada) - pesquisa e/ou dosagem na urina",,,40311058,
Catecolaminas - pesquisa e/ou dosagem,,,40316173,
Cateterismo cardíaco D e/ou E com estudo cineangiográfico e de revascularização cirúrgica do miocárdio,,,30911052,
Cateterismo cardíaco D e/ou E com ou sem cinecoronariografia / cineangiografia com avaliação de reatividade vascular pulmonar ou teste de sobrecarga hemodinânica,,,30911044,
Cateterismo cardíaco direito com estudo angiográfico da artéria pulmonar,,,30911060,
Cateterismo cardíaco E e/ou D com cineangiocoronariografia e ventriculografia,,,30911079,
"Cateterismo cardíaco E e/ou D com cineangiocoronariografia, ventriculografia e estudo angiográfico da aorta e/ou ramos tóraco-abdominais e/ou membros",,,30911087,
Cateterismo da artéria radial - para PAM,,,30906164,
Cateterismo de canais ejaculadores,,,20104340,
Cateterismo E e estudo cineangiográfico da aorta e/ou seus ramos,,,30911095,
Cateterismo ureteral unilateral,,,31102034,
Cateterismo vesical em retenção urinária,,,20104049,
Cateterização cardíaca E por via transeptal,,,30911109,
CAU,,CAU,,
CAU24,,CAU24,,
Cauterização de alta frequência em sistema genital e reprodutor feminino,,,41301528,
Cauterização de córnea,,,30304016,
Cauterização de membrana timpânica,,,30403014,
Cauterização (qualquer técnica) por sessão,,,30205085,
"Cauterização química, ou eletrocauterização, ou criocauterização de lesões da vagina (por grupo de até 5 lesões)",,,31302130,
"Cauterização química, ou eletrocauterização, ou criocauterização de lesões da vulva (por grupo de até 5 lesões)",,,31301037,
"Cauterização química, ou eletrocauterização, ou criocauterização de lesões de colo uterino (por sessão)",,,31303196,
Cauterização química (por grupo de até 5 lesões),,,30101107,
Cauterização química vesical,,,20104057,
Cavernosografia,,,40812138,
Cavernosometria,,,41501020,
"Caxumba, IgG - pesquisa e/ou dosagem",,,40306593,
"Caxumba, IgM - pesquisa e/ou dosagem",,,40306607,
CBFBQTM,,CBFBQTM,,
CBFBQTS,,CBFBQTS,,
CBG,,CBG,,
CBG50,,CBG50,,
CBG5100,,CBG5100,,
CBGD,,CBGD,,
CBGLC,,CBGLC,,
CBK1,,CBK1,,
CBK2,,CBK2,,
CBK3,,CBK3,,
CBKLQ,,CBKLQ,,
CBKROT,,CBKROT,,
CBKU,,CBKU,,
CBZ,,CBZ,,
CC1Q,,CC1Q,,
CC2,,CC2,,
CC3,,CC3,,
CC4,,CC4,,
CCC,,CCC,,
CCND1,,CCND1,,
"CCND1 e IGH (genes), hibridização in situ por fluore",,,40503380,
CCP,,CCP,,
"CCR-5, pesquisa de mutação por PCR",,,40503283,
CD 52 marcador isolado,,,40319334,
"CD... (antígeno de dif. Celular, cada determinação) - pesquisa e/ou dosagem",,,40304086,
CD19,,CD19,,
CD20,,CD20,,
CD3,,CD3,,
"CD3, imunofenotipagem",,,40319369,
CD34,,CD34,,
"CD34, imunofenotipagem",,,40319377,
CD4,,CD4,,
CD56,,CD56,,
CD8,,CD8,,
CDE,,CDE,,
CDI,,CDI,,
CDIFLQ,,CDIFLQ,,
CDPCR,,CDPCR,,
CEA,,CEA,,
CEAL,,CEAL,,
CEBORO,,CEBORO,,
Cecostomia,,,40202062,
Cefalexina dosagem,,,40321690,
Ceftriaxona dosagem,,,40321703,
Celostomia percutânea orientada por RX ou TC,,,40813860,
"Células B painel de linfoma, Burkitt's -T(8;14); Folicular - T(14;14) e células de manto - T(11;14), FISH",,,40503704,
"Células, contagem total e específica - pesquisa e/ou dosagem em líquidos orgânicos",,,40309037,
"Células, pesquisa de células neoplásicas (citologia oncótica) - pesquisa e/ou dosagem em líquidos orgânicos",,,40309045,
"Células Sesary, pesquisa",,,40324516,
Células tumorais circulante mama Cellsearch,,,40319059,
Centralização da ulna (tratamento da mão torta radial),,,30722225,
CER,,CER,,
Ceratectomia superficial - monocular,,,30304024,
"Ceratoscopia computadorizada da córnea por orbscan, olho",,,41301480,
Ceratoscopia computadorizada - monocular,,,41301080,
Cerclagem anal,,,31004032,
Cerclagem do colo uterino via abdominal,,,31309283,
Cerclagem do colo uterino via laparoscópica,,,31309291,
Cerclagem do colo uterino via vaginal,,,31309046,
Ceruloplasmina - pesquisa e/ou dosagem,,,40301478,
Cerumen - remoção - unilateral,,,20104065,
Cervicotomia exploradora,,,30212014,
CES,,CES,,
Cesariana,,,31309054,
Cesariana com histerectomia,,,31309208,
CETS,,CETS,,
CETU,,CETU,,
CFT,,CFT,,
CFU,,CFU,,
CFULQ,,CFULQ,,
CFZ,,CFZ,,
CGELCR,,CGELCR,,
CGELQ,,CGELQ,,
CGH,,CGH,,
CGL,,CGL,,
CH100,,CH100,,
CH5,,CH5,,
CHAEL,,CHAEL,,
CHAG,,CHAG,,
"Chagas, hemoaglutinação",,,40307964,
Chagas IgG - pesquisa e/ou dosagem,,,40306615,
Chagas IgM - pesquisa e/ou dosagem,,,40306623,
Chagas (Machado Guerreiro),,,40307972,
CHAH,,CHAH,,
CHAM,,CHAM,,
CHAMNN,,CHAMNN,,
CHARCMT,,CHARCMT,,
CHIKG,,CHIKG,,
CHIKGM,,CHIKGM,,
CHIKM,,CHIKM,,
CHIKTR,,CHIKTR,,
"Chikungunya, anticorpos",,,40324176,
CHIKV,,CHIKV,,
"Chlamydia, amplificação de DNA por PCR",,,40314537,
"Chlamydia, cultura",,,40310078,
Chlamydia - IgG - pesquisa e/ou dosagem,,,40306631,
Chlamydia - IgM - pesquisa e/ou dosagem,,,40306640,
"Chlamydia pneumoniae, anticorpos, IgA",,,40324290,
"Chlamydia pneumoniae, painel",,,40310442,
Chlamydia por biologia molecular - pesquisa,,,40314243,
"Chlamydia trachomatis, exame direto para vários materiais",,,40310612,
CHLGI,,CHLGI,,
CHLMI,,CHLMI,,
CHPSA,,CHPSA,,
CHPSG,,CHPSG,,
CHPSM,,CHPSM,,
Chumbo - pesquisa e/ou dosagem,,,40313107,
CIC,,CIC,,
"Ciclina D1, imunofenotipagem",,,40319385,
"Ciclosporina, methotrexate - cada - pesquisa e/ou dosagem",,,40301486,
Cicloterapia - qualquer técnica,,,30310024,
CIN,,CIN,,
CINA,,CINA,,
Cingulotomia ou capsulotomia unilateral,,,31401023,
Cintilografia cerebral,,,40707016,
"Cintilografia cerebral com FDG-18 F, em câmara hibrída",,,40707024,
Cintilografia com análogo de somatostatina,,,40708012,
Cintilografia com gálio-67,,,40708020,
Cintilografia com hemácias marcadas,,,40701026,
Cintilografia com leucócitos marcados,,,40708039,
Cintilografia com MIBG (metaiodobenzilguanidina),,,40708047,
Cintilografia da tireóide e/ou captação (iodo - 123),,,40703010,
Cintilografia da tireóide e/ou captação (iodo - 131),,,40703029,
Cintilografia da tireóide e/ou captação (tecnécio - 99m TC),,,40703037,
Cintilografia das glândulas salivares com ou sem estímulo,,,40702014,
Cintilografia das paratireóides,,,40703045,
Cintilografia de corpo inteiro com metaiodobenzilguandina - iodo-123,,,40703096,
Cintilografia de corpo inteiro com MIBI marcada com tecnécio - 99m,,,40703100,
Cintilografia de corpo inteiro para pesquisa de metástases (PCI),,,40703053,
"Cintilografia de corpo total com FDG-18 F, em câmara híbrida",,,40708055,
Cintilografia de mama (bilateral),,,40708063,
Cintilografia de perfusão cerebral,,,40707032,
Cintilografia de perfusão cerebral para avaliação de transportadores de dopamina,,,40707091,
"Cintilografia de perfusão do miocárido, associada à Dobutamina",,,40701158,
Cintilografia do fígado e do baço,,,40702022,
Cintilografia do fígado e vias biliares,,,40702030,
Cintilografia do miocárdio com duplo isótopo (perfusão + viabilidade),,,40701034,
"Cintilografia do miocárdio com FDG-18 F, em câmara híbrida",,,40701042,
Cintilografia do miocárdio necrose (infarto agudo),,,40701050,
Cintilografia do miocárdio perfusão - estresse farmacológico,,,40701131,
Cintilografia do miocárdio perfusão - estresse físico,,,40701140,
Cintilografia do miocárdio perfusão - repouso,,,40701069,
Cintilografia do sistema retículo-endotelial (medula óssea),,,40705013,
Cintilografia óssea (corpo total),,,40706010,
Cintilografia para detecção de aspiração pulmonar,,,40709019,
Cintilografia para detecção de hemorragia digestória ativa,,,40702049,
Cintilografia para detecção de hemorragia digestória não ativa,,,40702057,
Cintilografia para determinação do tempo de esvaziamento gástrico,,,40702065,
Cintilografia para estudo de trânsito esofágico (líquidos),,,40702073,
Cintilografia para estudo de trânsito esofágico (semi-sólidos),,,40702081,
Cintilografia para pesquisa de divertículo de Meckel,,,40702090,
Cintilografia para pesquisa de refluxo gastro-esofágico,,,40702103,
Cintilografia pulmonar (inalação),,,40709027,
Cintilografia pulmonar (perfusão),,,40709035,
"Cintilografia, receptores da Somatostatina com lutécio - 177",,,40702146,
Cintilografia renal dinâmica,,,40704017,
